@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
77, 59, 76, 78, 40, 34, 75, 63, 65, 26, 70, 28, 50, 46, 25, 66, 46, 52, 63, 63, 68, 56, 46, 47, 12, 6, 28, 23, 56, 48, 68, 55, 63, 54, 40, 20, 65, 68, 56, 57, 5, 10, 13, 10, 1
69, 55, 75, 73, 63, 64, 70, 66, 61, 75, 77, 75, 74, 76, 63, 61, 73, 75, 49, 67, 72, 69, 66, 74, 48, 48, 53, 66, 64, 68, 71, 71, 60, 64, 62, 68, 67, 74, 65, 70, 63, 64, 50, 52, 1
46, 47, 65, 68, 41, 48, 52, 45, 54, 47, 74, 72, 63, 63, 47, 45, 31, 36, 60, 65, 66, 79, 57, 60, 49, 52, 45, 45, 31, 36, 70, 71, 63, 72, 34, 34, 66, 78, 26, 35, 60, 43, 52, 51, 1
65, 70, 68, 71, 63, 59, 75, 75, 65, 63, 75, 78, 72, 74, 58, 59, 68, 71, 75, 68, 83, 81, 80, 82, 71, 57, 68, 67, 62, 69, 72, 75, 60, 61, 68, 69, 73, 73, 71, 77, 74, 64, 61, 50, 1
69, 66, 67, 67, 75, 78, 78, 69, 60, 62, 68, 73, 60, 66, 69, 75, 64, 67, 67, 60, 72, 67, 60, 63, 65, 64, 70, 64, 62, 63, 77, 72, 69, 58, 64, 64, 70, 54, 62, 47, 70, 46, 56, 46, 1
56, 68, 58, 67, 52, 61, 63, 76, 44, 61, 54, 68, 54, 70, 49, 70, 46, 69, 41, 59, 53, 70, 53, 67, 48, 57, 52, 68, 58, 68, 66, 75, 55, 60, 57, 68, 58, 71, 63, 71, 52, 64, 52, 54, 1
71, 71, 71, 72, 77, 72, 73, 65, 69, 65, 81, 79, 68, 72, 67, 71, 70, 70, 64, 61, 72, 67, 56, 73, 67, 75, 62, 58, 58, 58, 73, 69, 66, 61, 55, 56, 52, 53, 65, 58, 71, 76, 68, 70, 1
72, 73, 62, 66, 66, 64, 70, 75, 62, 67, 72, 74, 70, 70, 69, 62, 69, 69, 73, 70, 67, 64, 63, 53, 47, 35, 70, 71, 66, 67, 70, 73, 57, 57, 68, 68, 61, 60, 70, 61, 66, 53, 50, 46, 1
65, 62, 68, 74, 57, 56, 62, 60, 65, 63, 74, 71, 69, 67, 56, 59, 66, 63, 76, 75, 79, 77, 78, 77, 61, 53, 66, 69, 59, 62, 76, 76, 62, 64, 63, 61, 75, 74, 67, 69, 66, 68, 50, 44, 1
72, 64, 69, 75, 67, 59, 79, 68, 68, 56, 72, 76, 64, 61, 59, 59, 69, 69, 70, 61, 73, 74, 69, 73, 62, 46, 67, 65, 52, 36, 76, 73, 58, 55, 59, 57, 72, 63, 65, 48, 56, 42, 35, 31, 1
64, 69, 72, 82, 36, 43, 72, 73, 57, 63, 80, 82, 56, 63, 35, 33, 70, 75, 60, 67, 70, 78, 51, 61, 24, 17, 61, 61, 63, 67, 69, 74, 57, 61, 68, 71, 59, 73, 48, 74, 33, 38, 13, 9, 1
69, 69, 73, 72, 66, 63, 76, 72, 69, 66, 69, 79, 72, 74, 58, 62, 73, 70, 69, 71, 78, 76, 71, 76, 65, 63, 66, 70, 60, 63, 74, 75, 62, 64, 66, 68, 69, 72, 73, 69, 71, 71, 57, 62, 1
64, 51, 64, 54, 70, 71, 70, 72, 64, 52, 72, 59, 70, 67, 70, 68, 76, 70, 60, 49, 71, 64, 73, 64, 76, 71, 73, 64, 68, 63, 71, 62, 56, 56, 71, 70, 57, 53, 72, 70, 67, 66, 56, 52, 1
70, 72, 65, 64, 71, 69, 75, 76, 65, 68, 69, 79, 65, 74, 62, 67, 73, 73, 53, 51, 72, 69, 74, 68, 49, 44, 52, 48, 65, 68, 64, 72, 57, 58, 66, 69, 64, 69, 76, 73, 66, 69, 50, 53, 1
70, 72, 70, 70, 65, 69, 70, 65, 69, 72, 77, 78, 68, 71, 63, 70, 69, 71, 68, 74, 75, 74, 69, 65, 71, 68, 63, 64, 66, 68, 73, 75, 67, 67, 69, 65, 66, 71, 69, 65, 78, 75, 66, 63, 0
58, 63, 80, 71, 76, 70, 70, 71, 64, 63, 74, 78, 77, 75, 62, 61, 62, 56, 71, 52, 82, 71, 84, 85, 71, 71, 57, 47, 42, 39, 70, 70, 50, 70, 50, 46, 58, 60, 76, 73, 82, 77, 65, 66, 0
