@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
67, 59, 54, 48, 63, 67, 77, 78, 71, 61, 57, 57, 59, 50, 72, 72, 77, 77, 76, 73, 85, 67, 58, 50, 39, 33, 54, 50, 57, 50, 45, 41, 38, 43, 76, 77, 80, 69, 61, 48, 63, 61, 37, 36, 1
73, 70, 69, 75, 62, 62, 67, 70, 70, 76, 75, 74, 73, 77, 63, 58, 68, 71, 64, 66, 76, 74, 67, 69, 56, 44, 65, 65, 68, 69, 72, 71, 57, 61, 62, 65, 62, 66, 66, 62, 54, 56, 44, 35, 1
72, 69, 65, 65, 66, 67, 76, 78, 72, 70, 77, 79, 66, 67, 65, 60, 71, 72, 74, 67, 79, 79, 72, 67, 57, 51, 68, 56, 68, 63, 76, 77, 61, 64, 68, 65, 77, 76, 76, 64, 71, 57, 41, 39, 1
60, 59, 67, 58, 66, 60, 72, 79, 74, 75, 71, 70, 72, 66, 70, 65, 77, 74, 67, 76, 74, 81, 57, 56, 42, 42, 50, 59, 62, 66, 70, 73, 59, 62, 67, 66, 71, 76, 70, 69, 67, 59, 60, 55, 1
60, 64, 61, 74, 57, 63, 67, 70, 59, 65, 62, 74, 58, 68, 51, 41, 63, 67, 60, 70, 73, 85, 62, 46, 31, 35, 56, 79, 58, 64, 70, 75, 59, 58, 57, 66, 62, 71, 69, 61, 41, 31, 24, 18, 1
74, 77, 80, 77, 69, 64, 79, 76, 70, 68, 77, 78, 71, 69, 58, 55, 70, 65, 67, 65, 77, 77, 64, 61, 48, 45, 61, 54, 66, 65, 75, 78, 61, 69, 65, 58, 71, 71, 55, 60, 28, 39, 36, 35, 1
75, 79, 65, 74, 63, 64, 74, 73, 73, 71, 76, 79, 70, 69, 55, 64, 69, 71, 79, 76, 77, 78, 65, 70, 60, 60, 65, 61, 70, 65, 74, 71, 62, 62, 69, 67, 72, 72, 72, 66, 61, 64, 55, 54, 1
70, 60, 75, 78, 69, 69, 68, 71, 68, 59, 76, 69, 73, 71, 67, 65, 66, 63, 75, 65, 75, 72, 77, 79, 75, 75, 70, 64, 73, 75, 76, 74, 63, 61, 64, 63, 66, 64, 72, 75, 73, 72, 64, 61, 1
67, 59, 60, 65, 69, 69, 73, 70, 66, 63, 70, 70, 79, 76, 73, 70, 71, 73, 73, 68, 74, 75, 80, 74, 73, 71, 67, 64, 71, 70, 72, 70, 63, 64, 70, 71, 67, 61, 66, 69, 70, 74, 66, 66, 1
64, 55, 65, 57, 64, 63, 75, 76, 59, 55, 70, 59, 73, 69, 71, 70, 75, 72, 57, 52, 70, 56, 76, 67, 64, 60, 69, 60, 64, 63, 69, 66, 62, 62, 67, 70, 65, 60, 79, 77, 77, 75, 63, 60, 1
37, 23, 70, 67, 56, 49, 26, 20, 36, 32, 65, 62, 73, 72, 60, 52, 37, 21, 61, 58, 75, 72, 75, 71, 75, 76, 68, 59, 22, 15, 76, 72, 64, 61, 41, 31, 51, 45, 21, 22, 75, 78, 56, 49, 1
68, 58, 76, 71, 64, 70, 73, 75, 61, 58, 68, 64, 69, 71, 66, 73, 75, 69, 78, 74, 81, 78, 73, 74, 72, 80, 69, 69, 67, 67, 74, 74, 58, 59, 69, 70, 58, 53, 70, 67, 66, 78, 53, 64, 1
71, 76, 74, 79, 71, 69, 77, 75, 64, 64, 75, 78, 69, 70, 59, 52, 71, 62, 47, 50, 68, 65, 67, 62, 56, 48, 58, 50, 65, 63, 75, 75, 64, 62, 60, 56, 64, 63, 61, 65, 64, 58, 51, 38, 1
76, 77, 69, 70, 64, 69, 76, 80, 50, 56, 70, 74, 61, 55, 54, 59, 65, 65, 53, 72, 76, 73, 51, 47, 43, 46, 66, 80, 73, 73, 71, 65, 60, 53, 69, 70, 54, 62, 64, 66, 51, 42, 28, 22, 1
64, 63, 62, 59, 60, 61, 70, 74, 68, 63, 66, 68, 64, 66, 67, 66, 72, 68, 63, 59, 75, 72, 67, 62, 63, 55, 66, 56, 65, 64, 70, 71, 61, 63, 67, 63, 69, 69, 77, 65, 74, 62, 60, 54, 1
68, 70, 69, 74, 65, 70, 72, 73, 71, 68, 73, 70, 68, 74, 63, 65, 65, 63, 70, 67, 74, 70, 69, 72, 62, 63, 63, 61, 66, 66, 74, 80, 70, 72, 69, 67, 60, 57, 69, 62, 66, 75, 50, 50, 0
