@relation spectfheart
@attribute F1R integer[23,83]
@attribute F1S integer[21,81]
@attribute F2R integer[38,82]
@attribute F2S integer[34,84]
@attribute F3R integer[21,82]
@attribute F3S integer[25,89]
@attribute F4R integer[21,85]
@attribute F4S integer[20,83]
@attribute F5R integer[12,77]
@attribute F5S integer[22,78]
@attribute F6R integer[11,81]
@attribute F6S integer[12,82]
@attribute F7R integer[32,79]
@attribute F7S integer[28,80]
@attribute F8R integer[23,77]
@attribute F8S integer[8,77]
@attribute F9R integer[3,80]
@attribute F9S integer[11,83]
@attribute F10R integer[35,86]
@attribute F10S integer[17,81]
@attribute F11R integer[36,86]
@attribute F11S integer[40,86]
@attribute F12R integer[27,84]
@attribute F12S integer[32,85]
@attribute F13R integer[12,79]
@attribute F13S integer[6,80]
@attribute F14R integer[8,80]
@attribute F14S integer[17,86]
@attribute F15R integer[13,79]
@attribute F15S integer[7,78]
@attribute F16R integer[39,80]
@attribute F16S integer[9,84]
@attribute F17R integer[28,77]
@attribute F17S integer[16,80]
@attribute F18R integer[18,76]
@attribute F18S integer[13,77]
@attribute F19R integer[33,80]
@attribute F19S integer[18,79]
@attribute F20R integer[11,83]
@attribute F20S integer[6,81]
@attribute F21R integer[5,82]
@attribute F21S integer[8,83]
@attribute F22R integer[11,82]
@attribute F22S integer[4,73]
@attribute OVERALL_DIAGNOSIS {0,1}
@inputs F1R, F1S, F2R, F2S, F3R, F3S, F4R, F4S, F5R, F5S, F6R, F6S, F7R, F7S, F8R, F8S, F9R, F9S, F10R, F10S, F11R, F11S, F12R, F12S, F13R, F13S, F14R, F14S, F15R, F15S, F16R, F16S, F17R, F17S, F18R, F18S, F19R, F19S, F20R, F20S, F21R, F21S, F22R, F22S
@outputs OVERALL_DIAGNOSIS
@data
62, 54, 73, 68, 72, 71, 76, 76, 62, 52, 66, 58, 73, 65, 70, 70, 73, 73, 59, 52, 65, 59, 70, 55, 72, 65, 68, 70, 69, 66, 69, 66, 61, 51, 69, 72, 60, 54, 74, 68, 73, 67, 56, 52, 1
65, 56, 67, 58, 76, 79, 70, 71, 59, 50, 76, 61, 72, 64, 69, 73, 71, 68, 67, 50, 75, 65, 71, 62, 63, 70, 66, 55, 59, 52, 74, 60, 59, 58, 68, 63, 54, 38, 57, 52, 71, 74, 59, 65, 1
77, 69, 77, 79, 60, 59, 65, 68, 57, 54, 76, 76, 60, 66, 39, 36, 63, 65, 54, 60, 75, 71, 59, 63, 43, 38, 64, 49, 53, 42, 67, 73, 62, 60, 55, 52, 59, 58, 55, 43, 41, 37, 39, 26, 1
66, 65, 72, 74, 59, 61, 67, 65, 59, 58, 70, 72, 71, 67, 58, 52, 64, 63, 73, 71, 78, 59, 75, 72, 54, 45, 66, 64, 61, 60, 73, 74, 58, 57, 60, 59, 74, 71, 75, 74, 70, 66, 63, 61, 1
79, 58, 73, 78, 67, 65, 74, 71, 64, 54, 76, 68, 72, 69, 70, 64, 69, 64, 63, 53, 74, 64, 73, 67, 60, 57, 58, 51, 65, 68, 76, 75, 66, 63, 66, 62, 66, 58, 71, 67, 71, 68, 62, 60, 1
71, 71, 77, 82, 64, 63, 73, 71, 66, 64, 72, 79, 66, 59, 57, 57, 70, 63, 71, 68, 78, 79, 67, 65, 63, 63, 70, 67, 68, 70, 75, 77, 60, 62, 70, 67, 77, 74, 71, 75, 72, 67, 62, 60, 1
64, 59, 76, 72, 55, 52, 63, 66, 68, 63, 75, 72, 70, 64, 60, 57, 75, 68, 62, 59, 69, 73, 74, 67, 49, 42, 66, 51, 58, 48, 75, 73, 76, 75, 64, 62, 73, 70, 72, 51, 71, 42, 61, 39, 1
57, 70, 65, 71, 58, 69, 74, 81, 67, 72, 75, 78, 69, 71, 65, 63, 71, 75, 61, 68, 72, 78, 66, 72, 41, 38, 48, 48, 63, 68, 69, 77, 62, 67, 65, 69, 70, 74, 77, 81, 67, 69, 55, 60, 1
58, 65, 78, 76, 64, 58, 74, 70, 63, 57, 81, 72, 62, 59, 41, 41, 64, 57, 75, 58, 75, 70, 64, 66, 32, 29, 66, 56, 57, 63, 71, 72, 61, 58, 71, 62, 77, 62, 72, 62, 49, 35, 30, 20, 1
68, 74, 76, 84, 72, 72, 85, 75, 73, 70, 77, 78, 70, 66, 59, 58, 75, 70, 57, 64, 81, 76, 70, 64, 48, 47, 49, 54, 62, 64, 72, 76, 65, 62, 67, 68, 70, 70, 67, 58, 58, 58, 51, 52, 1
57, 47, 64, 71, 63, 69, 64, 71, 61, 60, 67, 65, 69, 69, 65, 68, 73, 68, 71, 65, 81, 69, 78, 73, 74, 73, 74, 62, 64, 70, 76, 77, 65, 62, 75, 74, 58, 57, 66, 68, 68, 72, 55, 56, 1
68, 60, 63, 60, 45, 36, 72, 55, 50, 56, 68, 56, 32, 51, 27, 8, 66, 50, 50, 77, 76, 48, 51, 61, 18, 32, 67, 26, 39, 44, 67, 64, 44, 55, 50, 28, 60, 60, 63, 59, 13, 9, 13, 11, 1
73, 73, 75, 79, 64, 66, 68, 61, 71, 68, 77, 75, 63, 73, 62, 55, 70, 64, 77, 75, 75, 79, 70, 75, 65, 59, 68, 56, 63, 67, 74, 73, 60, 60, 62, 60, 73, 77, 70, 72, 73, 67, 64, 61, 1
76, 65, 60, 40, 32, 34, 65, 50, 53, 37, 66, 53, 33, 31, 30, 30, 69, 75, 64, 45, 68, 65, 57, 43, 23, 23, 53, 77, 48, 32, 55, 32, 48, 23, 62, 51, 65, 59, 43, 39, 35, 30, 24, 21, 1
68, 59, 77, 69, 77, 64, 75, 71, 64, 53, 67, 63, 66, 74, 74, 62, 67, 65, 70, 61, 73, 66, 78, 75, 72, 67, 67, 53, 72, 64, 71, 77, 66, 60, 73, 73, 70, 58, 70, 59, 77, 71, 70, 63, 1
40, 73, 61, 74, 61, 67, 56, 75, 64, 71, 75, 76, 63, 61, 56, 67, 70, 73, 69, 60, 74, 63, 65, 73, 57, 63, 66, 69, 60, 66, 72, 71, 57, 64, 64, 69, 67, 68, 59, 66, 55, 62, 51, 60, 1
56, 56, 63, 66, 76, 76, 68, 73, 62, 54, 65, 62, 70, 65, 74, 72, 65, 64, 64, 53, 64, 56, 63, 61, 73, 64, 66, 60, 66, 74, 76, 75, 65, 61, 71, 73, 60, 53, 61, 73, 67, 68, 59, 56, 0
